City,Population,Murder_ and_nonnegligent_manslaughter,"Rape
",Robbery,Aggravated_assault,Burglary,Larceny_theft,Violent_crime_total,Motor_vehicle_theft,Property_crime_total,Arson,total_crime,Crime_index,is_safe
Aberdeen,7549,0,3,10,12,52,226,25,11,289,1,314,4.15,1
Ahoskie,4883,2,3,8,30,81,201,43,9,291,0,334,6.84,0
Albemarle,16024,1,6,24,76,201,538,107,32,771,4,878,5.48,1
Angier,5097,0,2,2,10,62,59,14,8,129,3,143,2.81,1
Apex,47324,1,2,13,24,83,501,40,17,601,1,641,1.35,1
Asheboro,26230,1,11,39,53,300,1161,104,40,1501,10,1605,6.12,0
Asheville,89546,10,48,144,335,752,3345,537,260,4357,7,4894,5.47,1
Atlantic Beach,1503,0,4,1,9,42,84,14,4,130,0,144,9.58,0
Ayden,5078,0,0,5,24,49,137,29,9,195,0,224,4.41,1
Bailey,564,0,0,0,1,3,17,1,1,21,0,22,3.9,1
Banner Elk,1163,0,0,0,2,3,12,2,1,16,0,18,1.55,1
Beaufort,4244,0,0,0,10,19,67,10,4,90,1,100,2.36,1
Beech Mountain,320,0,0,1,0,3,11,1,1,15,0,16,5,1
Belhaven,1586,0,1,0,2,12,22,3,1,35,0,38,2.4,1
Belmont,10593,0,2,12,21,58,445,35,10,513,0,548,5.17,1
Benson,3648,0,0,13,7,71,148,20,16,235,0,255,6.99,0
Bessemer City,5591,0,1,3,6,38,47,10,2,87,1,97,1.73,1
Biltmore Forest,1461,0,0,0,1,3,11,1,0,14,0,15,1.03,1
Biscoe,1689,0,0,1,2,13,136,3,1,150,4,153,9.06,0
Black Mountain,8368,0,1,1,10,21,96,12,7,124,0,136,1.63,1
Blowing Rock,1303,0,0,0,2,9,26,2,0,35,0,37,2.84,1
Boiling Spring Lakes,5873,0,2,2,7,29,138,11,6,173,7,184,3.13,1
Boone,18374,0,13,2,20,74,307,35,12,393,1,428,2.33,1
Brevard,7747,0,4,4,8,33,168,16,5,206,0,222,2.87,1
Burgaw,4147,0,1,2,2,7,132,5,6,145,0,150,3.62,1
Burlington,52760,6,15,71,300,430,1309,392,94,1833,1,2225,4.22,1
Butner,7781,0,0,3,23,52,104,26,10,166,2,192,2.47,1
Cape Carteret,2080,0,0,0,4,3,19,4,0,22,0,26,1.25,1
Carrboro,21478,0,3,7,25,88,334,35,12,434,3,469,2.18,1
Carthage,2416,0,1,0,2,9,52,3,2,63,0,66,2.73,1
Cary,164835,1,20,68,62,234,1363,151,59,1656,7,1807,1.1,1
Chapel Hill,60004,2,15,33,63,280,1017,113,66,1363,3,1476,2.46,1
Charlotte-Mecklenburg,896379,67,219,2121,4153,6691,27280,6560,2761,36732,220,43292,4.83,1
Cherryville,6018,0,1,2,17,61,105,20,5,171,0,191,3.17,1
Claremont,1368,0,2,0,6,6,21,8,1,28,0,36,2.63,1
Clayton,19968,1,1,9,17,86,285,28,9,380,0,408,2.04,1
Clinton,8789,0,1,16,35,123,332,52,16,471,3,523,5.95,1
Clyde,1247,0,0,1,4,11,27,5,0,38,0,43,3.45,1
Columbus,994,0,0,0,1,2,22,1,4,28,0,29,2.92,1
Concord,89446,5,13,45,61,346,1759,124,100,2205,8,2329,2.6,1
Conover,8261,0,3,1,13,46,216,17,9,271,0,288,3.49,1
Creedmoor,4487,0,1,0,6,53,70,7,4,127,0,134,2.99,1
Davidson,12469,0,1,1,7,19,114,9,4,137,1,146,1.17,1
Dobson,1570,0,0,0,1,8,29,1,1,38,0,39,2.48,1
Drexel,1864,0,0,0,0,8,12,0,2,22,0,22,1.18,1
Duck,386,0,0,0,0,12,23,0,0,35,0,35,9.07,0
Eden,15343,2,3,27,49,126,419,81,22,567,4,648,4.22,1
Edenton,4822,0,2,3,65,53,101,70,3,157,0,227,4.71,1
Elizabeth City,17852,2,6,35,84,213,602,127,20,835,1,962,5.39,1
Elkin,4067,1,1,4,18,40,337,24,1,378,0,402,9.88,0
Elon,10150,0,0,0,3,28,53,3,0,81,0,84,0.83,1
Emerald Isle,3731,0,2,3,4,85,110,9,3,198,1,207,5.55,1
Erwin,4730,2,1,6,11,57,129,20,7,193,1,213,4.5,1
Fairmont,2703,3,1,15,12,43,77,31,3,123,5,154,5.7,1
Farmville,4776,1,1,5,26,53,112,33,3,168,0,201,4.21,1
Fayetteville,202200,33,99,316,1083,1868,6942,1531,391,9201,60,10732,5.31,1
Fletcher,7660,2,1,0,4,71,84,7,6,161,1,168,2.19,1
Forest City,7246,0,2,3,51,133,350,56,31,514,2,570,7.87,0
Fuquay-Varina,25249,1,6,7,14,84,383,28,12,479,2,507,2.01,1
Garner,28508,0,6,28,52,172,782,86,39,993,1,1079,3.78,1
Gibsonville,6843,0,0,4,12,43,36,16,6,85,0,101,1.48,1
Goldsboro,35871,11,3,84,291,484,1416,389,99,1999,5,2388,6.66,0
Graham,14712,2,2,15,58,118,338,77,19,475,2,552,3.75,1
Granite Falls,4651,0,0,5,0,11,257,5,15,283,0,288,6.19,0
Hamlet,6430,1,3,13,34,103,109,51,12,224,4,275,4.28,1
Haw River,2420,0,1,2,10,27,49,13,7,83,0,96,3.97,1
Henderson,15249,3,6,32,119,210,638,160,25,873,6,1033,6.77,0
Hendersonville,13954,0,9,23,18,119,680,50,45,844,2,894,6.41,0
Hickory,40437,6,19,56,84,362,1482,165,109,1953,8,2118,5.24,1
Highlands,939,0,0,0,1,23,42,1,1,66,0,67,7.14,0
High Point,111435,7,36,220,458,781,2992,721,210,3983,9,4704,4.22,1
Holly Ridge,2300,0,1,0,0,26,47,1,3,76,0,77,3.35,1
Holly Springs,32862,0,1,2,6,45,245,9,5,295,0,304,0.93,1
Hope Mills,16268,1,3,28,31,163,603,63,23,789,2,852,5.24,1
Hudson,3710,0,3,1,2,22,80,6,3,105,0,111,2.99,1
Huntersville,53932,0,7,19,37,148,959,63,50,1157,3,1220,2.26,1
Jefferson,1605,0,0,0,0,2,14,0,0,16,0,16,1,1
Kannapolis,46867,1,15,32,70,228,636,118,72,936,3,1054,2.25,1
Kenansville,872,0,0,2,3,3,7,5,0,10,0,15,1.72,1
Kernersville,23943,1,7,23,71,151,956,102,36,1143,3,1245,5.2,1
Kill Devil Hills,7132,0,7,1,33,150,188,41,6,344,1,385,5.4,1
King,7091,1,4,1,22,23,208,28,2,233,1,261,3.68,1
Kings Mountain,10785,0,1,8,11,68,224,20,1,293,1,313,2.9,1
Kinston,21268,2,8,37,210,326,938,257,32,1296,6,1553,7.3,0
Kitty Hawk,3482,0,2,2,8,31,98,12,3,132,1,144,4.14,1
Knightdale,14875,0,1,7,13,31,273,21,12,316,0,337,2.27,1
Lake Royale,2670,1,1,0,1,10,37,3,0,47,0,50,1.87,1
Laurel Park,2341,0,0,0,0,0,7,0,2,9,0,9,0.38,1
Laurinburg,15423,3,4,43,151,521,358,201,22,901,4,1102,7.15,0
Leland,18842,0,1,3,22,85,323,26,19,427,1,453,2.4,1
Lenoir,17822,0,0,13,43,161,630,56,52,843,4,899,5.04,1
Long View,4901,1,2,6,38,88,131,47,24,243,3,290,5.92,1
Louisburg,3582,0,0,4,7,24,63,11,2,89,0,100,2.79,1
Lumberton,21683,9,5,132,247,920,1917,393,161,2998,21,3391,15.64,0
Maiden,3379,0,0,1,3,23,79,4,7,109,0,113,3.34,1
Manteo,1401,0,0,0,0,6,50,0,4,60,0,60,4.28,1
Marion,7827,2,0,6,27,179,403,35,30,612,1,647,8.27,0
Marshville,2684,0,2,2,16,25,67,20,3,95,0,115,4.28,1
Matthews,31401,0,5,22,19,110,909,46,56,1075,4,1121,3.57,1
Maxton,2454,0,1,5,1,68,71,7,4,143,2,150,6.11,0
Mayodan,2469,0,1,4,6,34,145,11,3,182,0,193,7.82,0
Maysville,1003,0,1,1,2,6,15,4,0,21,0,25,2.49,1
Mebane,14201,0,2,5,40,46,516,47,16,578,3,625,4.4,1
Mint Hill,26221,5,5,13,13,114,491,36,27,632,5,668,2.55,1
Monroe,34978,1,5,68,153,348,1534,227,82,1964,7,2191,6.26,0
Mooresville,36482,0,10,27,63,178,1232,100,33,1443,8,1543,4.23,1
Morehead City,9477,1,2,4,31,56,322,38,4,382,0,420,4.43,1
Mount Airy,10345,1,1,10,34,94,378,46,39,511,4,557,5.38,1
Mount Holly,14284,1,2,7,17,85,199,27,21,305,3,332,2.32,1
Mount Olive,4752,0,0,6,10,53,152,16,8,213,1,229,4.82,1
Murphy,1613,1,2,3,9,24,85,15,8,117,0,132,8.18,0
Nags Head,2938,0,1,1,12,123,119,14,5,247,1,261,8.88,0
New Bern,30137,2,7,41,74,167,856,124,23,1046,5,1170,3.88,1
Newland,684,0,0,0,0,5,17,0,1,23,0,23,3.36,1
Newport,4841,0,1,2,4,14,67,7,4,85,0,92,1.9,1
Newton,13049,0,2,5,27,103,325,34,18,446,2,480,3.68,1
North Wilkesboro,4215,0,1,3,18,3,135,22,6,144,1,166,3.94,1
Oxford,8794,0,2,24,74,122,388,100,26,536,4,636,7.23,0
Pilot Mountain,1462,0,0,0,2,13,43,2,1,57,1,59,4.04,1
Pinebluff,1467,0,0,1,0,11,3,1,1,15,0,16,1.09,1
Pinehurst,15948,2,0,2,2,0,82,6,2,84,0,90,0.56,1
Pine Knoll Shores,1368,0,0,1,0,2,19,1,0,21,0,22,1.61,1
Pine Level,1893,0,0,1,0,9,26,1,2,37,0,38,2.01,1
Pineville,8626,1,5,24,23,127,1055,53,39,1221,6,1274,14.77,0
Pittsboro,4287,0,0,1,13,16,113,14,4,133,2,147,3.43,1
Plymouth,3618,0,2,1,31,23,130,34,8,161,6,195,5.39,1
Raeford,4907,0,0,5,8,25,165,13,4,194,1,207,4.22,1
Randleman,4160,0,0,9,5,94,295,14,5,394,1,408,9.81,0
Reidsville,13991,1,3,25,73,167,573,102,26,766,1,868,6.2,0
Richlands,1720,0,0,0,0,7,7,0,0,14,0,14,0.81,1
Roanoke Rapids,15273,2,9,25,72,265,747,108,33,1045,4,1153,7.55,0
Robersonville,1412,0,0,2,9,19,37,11,2,58,0,69,4.89,1
Rockingham,9155,2,2,13,33,163,528,50,16,707,3,757,8.27,0
Rockwell,2148,0,0,1,1,8,43,2,7,58,0,60,2.79,1
Rocky Mount,55431,4,12,116,303,593,0,435,98,703,12,1138,2.05,1
Rolesville,6962,1,1,1,3,15,103,6,3,121,0,127,1.82,1
Rose Hill,1672,0,1,0,1,5,17,2,1,23,0,25,1.5,1
Rowland,1052,0,0,7,9,22,37,16,0,59,0,75,7.13,0
Rutherfordton,4173,0,0,0,0,0,136,0,3,139,0,139,3.33,1
Salisbury,34121,14,9,74,235,416,1169,332,77,1662,15,1994,5.84,1
Selma,6351,0,4,15,17,130,185,36,14,329,1,365,5.75,1
Shallotte,4066,0,0,3,4,27,122,7,7,156,0,163,4.01,1
Shelby,20168,5,6,30,82,203,475,123,50,728,6,851,4.22,1
Siler City,8498,0,1,13,25,71,266,39,13,350,0,389,4.58,1
Snow Hill,1570,0,0,2,1,8,44,3,1,53,0,56,3.57,1
Southern Pines,13778,3,3,16,47,76,272,69,12,360,0,429,3.11,1
Spencer,3296,0,0,3,16,46,85,19,8,139,1,158,4.79,1
Stallings,15569,0,0,6,8,48,140,14,19,207,1,221,1.42,1
Stanley,3712,0,0,1,10,26,57,11,2,85,0,96,2.59,1
Star,874,0,0,1,0,4,12,1,0,16,0,17,1.95,1
St. Pauls,2422,1,0,3,2,29,97,6,0,126,0,132,5.45,1
Surf City,2256,0,1,0,2,14,149,3,7,170,0,173,7.67,0
Swansboro,3250,0,0,1,5,4,73,6,4,81,0,87,2.68,1
Sylva,2623,0,0,0,10,53,168,10,16,237,0,247,9.42,0
Tabor City,3910,1,1,4,11,36,89,17,7,132,0,149,3.81,1
Tarboro,11113,1,2,14,42,68,297,59,5,370,0,429,3.86,1
Thomasville,27117,1,3,25,58,221,842,87,38,1101,7,1188,4.38,1
Trent Woods,4192,0,0,0,0,23,7,0,0,30,0,30,0.72,1
Troutman,2576,0,1,1,4,14,64,6,2,80,1,86,3.34,1
Troy,3411,2,1,2,6,26,49,11,3,78,0,89,2.61,1
Wadesboro,5541,0,2,7,53,89,230,62,12,331,0,393,7.09,0
Wake Forest,39996,0,3,11,40,77,866,54,11,954,2,1008,2.52,1
Wallace,3979,0,1,3,4,32,127,8,9,168,0,176,4.42,1
Warrenton,861,0,1,0,1,3,32,2,1,36,0,38,4.41,1
Warsaw,3191,0,0,2,17,25,68,19,9,102,0,121,3.79,1
Washington,9796,1,7,16,42,98,403,66,8,509,1,575,5.87,1
Waxhaw,14367,0,1,3,16,35,109,20,1,145,0,165,1.15,1
Waynesville,9801,2,4,3,17,171,233,26,46,450,0,476,4.86,1
Weaverville,3988,0,0,1,3,0,80,4,5,85,0,89,2.23,1
Weldon,1574,0,0,2,18,12,36,20,6,54,0,74,4.7,1
Wendell,6368,0,2,2,12,28,76,16,5,109,0,125,1.96,1
West Jefferson,1309,0,1,0,4,2,80,5,3,85,0,90,6.88,0
Whispering Pines,3187,0,0,0,0,2,10,0,0,12,0,12,0.38,1
White Lake,778,0,1,0,2,17,67,3,3,87,0,90,11.57,0
Wilkesboro,3527,0,0,1,7,7,254,8,6,267,1,275,7.8,0
Wilmington,117852,15,44,204,496,1277,3219,759,275,4771,11,5530,4.69,1
Windsor,3819,0,2,3,8,12,24,13,6,42,0,55,1.44,1
Winterville,9502,0,0,4,12,46,99,16,2,147,0,163,1.72,1
Woodfin,6411,0,0,4,4,39,42,8,9,90,0,98,1.53,1
Wrightsville Beach,2581,0,2,3,8,35,136,13,8,179,1,192,7.44,0
Yadkinville,2918,0,2,2,12,27,88,16,1,116,1,132,4.52,1
Youngsville,1228,0,0,0,1,10,25,1,5,40,0,41,3.34,1
