City,Population,Murder_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Violent_crime_total,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Property_crime_total,total_crime,crime_index,is_safe
Aberdeen,7892,0,3,7,31,41,54,229,18,0,301,342,4.33,1
Ahoskie,4772,2,1,20,33,56,68,174,11,2,253,309,6.47,0
Albemarle,16134,1,4,23,118,146,179,667,36,14,882,1028,6.37,0
Apex,56276,0,13,3,37,53,79,432,16,0,527,580,1.03,1
Asheville,93641,6,59,163,467,695,833,4552,538,20,5923,6618,7.06,0
Atlantic Beach,1506,0,3,1,5,9,43,66,5,1,114,123,8.16,0
Bailey,560,1,1,0,0,2,7,8,0,0,15,17,3.03,1
Bald Head Island,182,0,0,0,0,0,4,19,1,0,24,24,13.18,0
Banner Elk,1101,0,1,1,3,5,2,8,1,0,11,16,1.45,1
Beech Mountain,324,0,0,0,0,0,6,9,0,0,15,15,4.62,1
Belhaven,1567,0,0,0,0,0,3,16,2,1,21,21,1.34,1
Benson,3901,0,4,5,22,31,51,136,13,1,200,231,5.92,0
Bessemer City,5552,0,0,2,11,13,18,58,9,2,85,98,1.76,1
Biltmore Forest,1410,0,0,0,0,0,4,12,0,0,16,16,1.13,1
Biscoe,1724,0,0,2,4,6,9,175,2,0,186,192,11.13,0
Black Mountain,8187,0,0,3,5,8,32,137,20,2,189,197,2.40,1
Boiling Spring Lakes,6238,1,3,0,6,10,19,63,1,1,83,93,1.49,1
Boone,19893,0,6,5,15,26,34,214,13,3,261,287,1.44,1
Brevard,7928,0,6,4,8,18,23,162,3,1,188,206,2.59,1
Bunn,377,0,0,0,1,1,2,14,2,0,18,19,5.03,0
Burgaw,4176,0,5,3,5,13,17,111,2,2,130,143,3.42,1
Burlington,54108,10,42,66,342,460,534,1815,141,5,2490,2950,5.45,0
Butner,7847,0,4,4,25,33,19,91,3,0,113,146,1.86,1
Canton,4349,0,3,0,13,16,71,132,23,0,226,242,5.56,0
Cape Carteret,2076,0,0,0,4,4,3,25,2,0,30,34,1.63,1
Carolina Beach,6437,0,4,2,23,29,27,153,7,0,187,216,3.35,1
Carthage,2524,0,1,2,1,4,15,52,5,0,72,76,3.01,1
Cary,172525,1,12,34,67,114,185,1298,77,1,1560,1674,0.97,1
Chapel Hill,61457,0,10,17,31,58,184,706,36,4,926,984,1.60,1
Charlotte-Mecklenburg,944260,103,317,1975,4587,6982,5426,28304,3340,151,37070,44052,4.66,1
Cherryville,6062,0,2,1,13,16,30,117,6,0,153,169,2.78,1
Chocowinity,794,0,2,1,3,6,1,21,1,0,23,29,3.65,1
