City,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,total_crime,Crime_index,is_safe 
Aberdeen,"7,892",41,0,3,7,31,301,54,229,18,0,342,4.33,1
Ahoskie,"4,772",56,2,1,20,33,253,68,174,11,2,309,6.48,0
Albemarle,"16,134",146,1,4,23,118,882,179,667,36,14,"1,028",6.37,0
Apex,"56,276",53,0,13,3,37,527,79,432,16,0,580,1.03,1
Asheville,"93,641",695,6,59,163,467,"5,923",833,"4,552",538,20,"6,618",7.07,0
Atlantic Beach,"1,506",9,0,3,1,5,114,43,66,5,1,123,8.17,0
Bailey,560,2,1,1,0,0,15,7,8,0,0,17,3.04,1
Bald Head Island,182,0,0,0,0,0,24,4,19,1,0,24,13.19,0
Banner Elk,"1,101",5,0,1,1,3,11,2,8,1,0,16,1.45,1
Beech Mountain,324,0,0,0,0,0,15,6,9,0,0,15,4.63,1
Belhaven,"1,567",0,0,0,0,0,21,3,16,2,1,21,1.34,1
Benson,"3,901",31,0,4,5,22,200,51,136,13,1,231,5.92,1
Bessemer City,"5,552",13,0,0,2,11,85,18,58,9,2,98,1.77,1
Biltmore Forest,"1,410",0,0,0,0,0,16,4,12,0,0,16,1.13,1
Biscoe,"1,724",6,0,0,2,4,186,9,175,2,0,192,11.14,0
Black Mountain,"8,187",8,0,0,3,5,189,32,137,20,2,197,2.41,1
Boiling Spring Lakes,"6,238",10,1,3,0,6,83,19,63,1,1,93,1.49,1
Boone,"19,893",26,0,6,5,15,261,34,214,13,3,287,1.44,1
Brevard,"7,928",18,0,6,4,8,188,23,162,3,1,206,2.60,1
Bunn,377,1,0,0,0,1,18,2,14,2,0,19,5.04,1
Burgaw,"4,176",13,0,5,3,5,130,17,111,2,2,143,3.42,1
Burlington,"54,108",460,10,42,66,342,"2,490",534,"1,815",141,5,"2,950",5.45,1
Butner,"7,847",33,0,4,4,25,113,19,91,3,0,146,1.86,1
Canton,"4,349",16,0,3,0,13,226,71,132,23,0,242,5.56,1
Cape Carteret,"2,076",4,0,0,0,4,30,3,25,2,0,34,1.64,1
Carolina Beach,"6,437",29,0,4,2,23,187,27,153,7,0,216,3.36,1
Carthage,"2,524",4,0,1,2,1,72,15,52,5,0,76,3.01,1
Cary,"172,525",114,1,12,34,67,"1,560",185,"1,298",77,1,"1,674",0.97,1
Chapel Hill,"61,457",58,0,10,17,31,926,184,706,36,4,984,1.60,1
Charlotte-Mecklenburg,"944,260","6,982",103,317,"1,975","4,587","37,070","5,426","28,304","3,340",151,"44,052",4.67,1
Cherryville,"6,062",16,0,2,1,13,153,30,117,6,0,169,2.79,1
Chocowinity,794,6,0,2,1,3,23,1,21,1,0,29,3.65,1
Clayton,"23,842",40,1,7,8,24,497,49,434,14,1,537,2.25,1
Cleveland,882,4,0,1,1,2,14,2,11,1,0,18,2.04,1
Columbus,995,1,0,0,0,1,47,9,33,5,1,48,4.82,1
Concord,"96,138",117,4,1,28,84,"1,586",149,"1,338",99,8,"1,703",1.77,1
Cooleemee,969,0,0,0,0,0,20,4,14,2,1,20,2.06,1
Creedmoor,"4,636",10,0,2,0,8,55,19,33,3,0,65,1.40,1
Dallas,"4,787",20,0,2,5,13,153,24,109,20,1,173,3.61,1
Davidson,"13,193",8,0,2,1,5,121,17,94,10,0,129,0.98,1
Drexel,"1,849",0,0,0,0,0,33,9,15,9,0,33,1.78,1
Duck,390,0,0,0,0,0,21,7,14,0,0,21,5.38,1
Dunn,"9,768",56,1,5,23,27,514,111,374,29,2,570,5.84,1
Durham,"280,282","2,046",37,121,626,"1,262","10,672","1,972","7,942",758,39,"12,718",4.54,1
East Spencer,"1,550",7,1,0,1,5,25,3,16,6,0,32,2.06,1
Eden,"14,773",88,4,9,9,66,513,154,339,20,3,601,4.07,1
Edenton,"4,631",39,2,3,5,29,145,37,99,9,0,184,3.97,1
Elizabeth City,"17,424",89,1,10,16,62,762,243,468,51,3,851,4.88,1
Elizabethtown,"3,447",17,0,2,0,15,225,47,168,10,0,242,7.02,0
Elon,"12,214",8,0,1,3,4,82,34,44,4,0,90,0.74,1
Enfield,"2,288",23,0,0,6,17,65,21,37,7,3,88,3.85,1
Erwin,"5,148",10,0,2,3,5,109,40,66,3,1,119,2.31,1
Fair Bluff,882,1,0,1,0,0,14,2,12,0,0,15,1.70,1
Fairmont,"2,601",14,0,4,2,8,125,31,88,6,1,139,5.34,1
Farmville,"4,679",27,0,4,4,19,183,38,140,5,0,210,4.49,1
Fayetteville,"209,614","1,835",24,117,281,"1,413","7,391","1,365","5,641",385,59,"9,226",4.40,1
Forest City,"7,116",34,1,3,8,22,585,207,357,21,1,619,8.70,0
Four Oaks,"2,224",7,0,0,1,6,35,1,32,2,0,42,1.89,1
Fuquay-Varina,"30,977",26,0,3,10,13,295,48,234,13,0,321,1.04,1
Garner,"31,137",79,2,7,27,43,"1,076",110,912,54,3,"1,155",3.71,1
Gibsonville,"7,356",17,0,5,2,10,136,84,46,6,2,153,2.08,1
Goldsboro,"34,085",267,2,7,50,208,"1,985",380,"1,506",99,3,"2,252",6.61,0
Granite Falls,"4,629",4,0,0,2,2,332,124,191,17,1,336,7.26,0
Greensboro,"298,025","2,440",43,113,621,"1,663","10,994","2,215","7,792",987,90,"13,434",4.51,1
Greenville,"94,193",437,5,17,94,321,"2,837",415,"2,308",114,11,"3,274",3.48,1
Havelock,"20,128",52,0,11,6,35,536,146,376,14,5,588,2.92,1
Haw River,"2,525",5,0,0,1,4,46,12,29,5,1,51,2.02,1
Henderson,"14,883",242,8,9,30,195,828,211,576,41,10,"1,070",7.19,0
Hendersonville,"14,234",61,2,9,17,33,680,124,515,41,2,741,5.21,1
Hertford,"2,109",13,0,1,5,7,75,25,47,3,2,88,4.17,1
Hickory,"41,040",165,4,16,39,106,"1,793",235,"1,410",148,6,"1,958",4.77,1
Highlands,974,4,0,2,0,2,69,23,43,3,1,73,7.49,0
High Point,"113,307",828,19,44,133,632,"3,726",621,"2,705",400,18,"4,554",4.02,1
Hillsborough,"7,321",38,0,1,11,26,392,30,350,12,0,430,5.87,1
Holly Ridge,"2,829",9,0,1,4,4,86,50,31,5,0,95,3.36,1
Holly Springs,"38,577",25,1,7,1,16,256,22,225,9,1,281,0.73,1
Hope Mills,"15,878",111,1,5,22,83,773,94,655,24,2,884,5.57,1
Hudson,"3,704",8,0,0,1,7,89,11,76,2,1,97,2.62,1
Huntersville,"58,512",79,1,4,23,51,948,114,769,65,0,"1,027",1.76,1
Indian Beach,119,0,0,0,0,0,21,2,19,0,0,21,17.65,0
Kannapolis,"50,725",132,1,20,36,75,"1,154",182,872,100,2,"1,286",2.54,1
Kenansville,855,2,0,1,1,0,9,3,6,0,0,11,1.29,1
Kernersville,"24,980",65,0,8,20,37,"1,141",113,989,39,3,"1,206",4.83,1
Kill Devil Hills,"7,268",19,0,5,2,12,281,55,219,7,0,300,4.13,1
King,"6,878",9,2,0,2,5,222,14,207,1,1,231,3.36,1
Kings Mountain,"10,965",15,1,3,5,6,343,67,246,30,0,358,3.26,1
Kitty Hawk,"3,563",4,0,2,1,1,127,17,109,1,0,131,3.68,1
Knightdale,"18,351",42,0,10,9,23,326,23,285,18,1,368,2.01,1
Laurinburg,"14,928",160,3,5,27,125,762,386,328,48,28,922,6.18,0
Lenoir,"17,904",78,0,17,13,48,799,234,476,89,3,877,4.90,1
Lexington,"18,917",121,2,1,27,91,812,149,627,36,3,933,4.93,1
Long View,"4,921",5,0,2,0,3,88,20,55,13,0,93,1.89,1
Louisburg,"3,549",23,0,2,5,16,149,30,116,3,1,172,4.85,1
Lowell,"3,709",9,0,2,0,7,36,5,18,13,0,45,1.21,1
Maggie Valley,"1,230",14,0,1,0,13,103,50,45,8,0,117,9.51,0
Manteo,"1,453",5,0,0,1,4,34,4,28,2,0,39,2.68,1
Marion,"7,837",12,0,1,1,10,419,95,301,23,0,431,5.50,1
Marshville,"2,748",16,0,3,3,10,130,67,58,5,0,146,5.31,1
Matthews,"33,372",58,3,8,18,29,"1,112",111,959,42,0,"1,170",3.51,1
Maysville,955,0,0,0,0,0,8,4,4,0,0,8,0.84,1
Mebane,"16,203",45,0,5,9,31,691,53,611,27,1,736,4.54,1
Middlesex,824,0,0,0,0,0,12,3,7,2,0,12,1.46,1
Mint Hill,"27,776",59,4,8,11,36,383,67,268,48,3,442,1.59,1
Mocksville,"5,322",14,0,5,4,5,109,16,90,3,4,123,2.31,1
Monroe,"35,630",332,2,37,70,223,"1,881",343,"1,407",131,9,"2,213",6.21,0
Mooresville,"38,967",65,1,11,9,44,"1,050",81,913,56,8,"1,115",2.86,1
Morehead City3,"9,721",28,0,1,2,25,,,380,14,1,28,0.29,1
